step,timestamp,distance_m,forward_m,right_m,speed_mps,bearing_deg,tool,throttle,steer,brake_strength,duration_s,overridden_by_safety
0,1774896593.0,45.39,-45.01,5.8,0.0,172.65,drive,0.2,1.0,0,0.5,False
1,1774896595.92,45.74,-45.04,7.99,0.58,169.95,drive,0.2,1.0,0,0.5,False
2,1774896598.42,47.75,-44.56,17.16,1.11,158.93,drive,0.2,1.0,0,0.5,False
3,1774896600.49,50.41,-39.23,31.66,1.58,141.1,drive,0.2,1.0,0,0.5,False
4,1774896603.06,52.59,-23.49,47.06,1.99,116.53,drive,0.2,1.0,0,0.5,False
5,1774896604.99,53.71,2.32,53.66,2.36,87.53,drive,0.15,1.0,0,0.5,False
6,1774896607.06,52.11,30.32,42.38,2.53,54.42,drive,0.2,0.8,0,1.0,False
7,1774896609.28,47.65,45.24,14.97,2.83,18.31,drive,0.3,0.2,0,1.0,False
8,1774896611.33,40.98,40.81,-3.71,3.56,-5.2,brake,0,0,10,0.1,False
9,1774896613.0,34.26,33.82,-5.46,2.46,-9.16,drive,0.2,-0.2,0,1.0,False
10,1774896614.8,30.04,29.99,-1.77,2.87,-3.38,drive,0.3,-0.2,0,1.0,False
11,1774896616.82,24.52,24.34,2.97,3.58,6.95,brake,0,0,10,0.1,False
12,1774896618.52,17.89,17.44,4.01,2.47,12.94,drive,0.2,0.2,0,1.0,False
13,1774896620.37,13.65,13.46,2.26,2.89,9.51,brake,0,0,10,0.1,False
14,1774896622.57,8.92,8.73,1.79,1.77,11.6,brake,0,0,20,0.5,False
15,1774896624.39,6.22,5.95,1.79,0.08,16.74,brake,0,0,30,1.0,False
16,1774896626.34,6.29,6.03,1.79,0.0,16.53,drive,0.2,0.2,0,1.0,False
17,1774896628.48,6.06,5.81,1.74,0.52,16.64,drive,0.2,0.2,0,1.0,False
18,1774896630.53,4.71,4.45,1.52,1.06,18.9,drive,0.2,0.2,0,1.0,False
