file,success,initial_distance_m,final_distance_m,distance_reduction_m,progress_ratio,n_steps,episode_duration_s,mean_speed_mps,max_speed_mps,n_drive_actions,n_brake_actions,total_brake_time_s,mean_brake_strength,n_safety_overrides,pct_safety_overrides,mean_abs_bearing_deg,max_abs_bearing_deg,steer_diff_mean,throttle_diff_mean,steer_sign_changes,forward_sign_changes
1.csv,True,198.18,3.01,195.17000000000002,0.9848117872641033,76,152.69000005722046,1.2630263157894739,4.69,64,12,1.8000000000000003,18.333333333333332,0,0.0,3.001447368421053,26.74,0.15333333333333332,0.023999999999999997,49,0
10.csv,True,188.74,10.12,178.62,0.9463812652325951,31,71.22000002861023,2.878709677419355,6.07,18,13,1.3000000000000003,10.0,0,0.0,27.608387096774194,157.33,0.11000000000000003,0.12666666666666668,4,0
11.csv,True,45.39,4.71,40.68,0.8962326503635162,19,37.52999997138977,1.8021052631578953,3.58,14,5,1.8,16.0,0,0.0,55.10368421052632,172.65,0.11111111111111113,0.09444444444444444,1,0
12.csv,False,241.37,58.79,182.58,0.7564320338070183,101,214.94000005722046,1.4460396039603962,3.7,81,20,4.599999999999999,23.0,0,0.0,27.06623762376238,114.61,0.06679999999999998,0.07200000000000001,11,2
13.csv,True,193.76,5.18,188.57999999999998,0.9732658959537572,40,74.94000005722046,2.58475,4.97,24,16,1.7000000000000002,13.125,0,0.0,17.1995,121.21,0.18461538461538463,0.19999999999999998,14,0
14.csv,True,279.88,5.86,274.02,0.979062455338002,54,106.6100001335144,2.5807407407407417,5.51,32,22,3.2000000000000006,12.045454545454545,1,1.8518518518518519,9.705925925925927,75.81,0.2377358490566038,0.20188679245283025,24,0
15.csv,True,270.72,3.12,267.6,0.9884751773049645,51,111.94999980926514,2.5592156862745092,6.11,30,21,7.6000000000000005,13.571428571428571,2,3.9215686274509802,17.136274509803922,133.37,0.156,0.21599999999999997,14,0
16.csv,False,294.94,20.08,274.86,0.9319183562758527,101,224.25,1.2474257425742576,6.97,58,43,5.199999999999999,10.813953488372093,1,0.9900990099009901,8.051683168316831,88.79,0.036000000000000004,0.17899999999999994,3,0
17.csv,False,297.49,203.12,94.37,0.3172207469158627,101,190.0199999809265,0.5057425742574257,4.29,31,70,31.10000000000001,76.0,0,0.0,3.6275247524752467,57.61,0.04100000000000001,0.026000000000000006,6,0
18.csv,False,195.55,44.78,150.77,0.7710048580925595,101,195.2699999809265,0.6882178217821783,5.98,83,18,4.7,28.61111111111111,1,0.9900990099009901,3.3885148514851497,70.35,0.11800000000000001,0.05449999999999999,28,0
19.csv,True,116.36,6.34,110.02,0.9455139223100721,24,47.730000019073486,2.4795833333333333,5.97,14,10,2.8000000000000003,14.5,1,4.166666666666667,22.64,81.26,0.1826086956521739,0.23043478260869568,2,0
2.csv,False,216.44,4.47,211.97,0.9793476252079099,101,195.5899999141693,1.1658415841584158,4.51,30,71,37.2,61.971830985915496,2,1.9801980198019802,13.691386138613861,174.29,0.07,0.07,14,0
20.csv,False,276.46,154.87,121.58999999999997,0.43981046082615927,101,203.80000019073486,0.6298019801980198,4.33,92,9,1.7999999999999998,33.333333333333336,0,0.0,5.799405940594059,116.69,0.018000000000000002,0.018000000000000002,0,0
